罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,北上,北上駅前,32069,岩手県,北上市,川岸４丁目,2021/6/27,13,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,北上,北上駅前,32069,岩手県,北上市,新穀町１丁目,2021/4/10,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,北上,北上駅前,32069,岩手県,北上市,新穀町２丁目,2021/5/18,19,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,北上,北上駅前,32069,岩手県,北上市,新穀町２丁目,2021/12/15,20,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,北上,北上駅前,32069,岩手県,北上市,本石町１丁目,2021/8/24,19,一戸建住宅,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,北上,北上駅前,32069,岩手県,北上市,本石町２丁目,2021/5/17,18,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,北上,北上駅前,32069,岩手県,北上市,本石町２丁目,2021/7/28,15,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,北上,北上駅前,32069,岩手県,北上市,本通り２丁目,2021/7/4,14,道路上,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,北上,北上駅前,32069,岩手県,北上市,本通り２丁目,2021/7/31,13,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,北上,北上駅前,32069,岩手県,北上市,柳原町１丁目,2021/7/11,16,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,北上,北上駅前,32069,岩手県,北上市,若宮町２丁目,2021/3/13,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,北上,常盤台交番,32069,岩手県,北上市,常盤台３丁目,2021/8/6,12,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,北上,常盤台交番,32069,岩手県,北上市,本通り４丁目,2021/8/12,19,一戸建住宅,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,北上,常盤台交番,32069,岩手県,北上市,里分４地割,2021/9/2,7,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,北上,常盤台交番,32069,岩手県,北上市,藤沢２０地割,2021/10/11,22,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,北上,常盤台交番,32069,岩手県,北上市,村崎野１５地割,2021/7/16,16,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,北上,江釣子,32069,岩手県,北上市,,2021/3/26,10,駐車（輪）場,駐車（輪）場,法人・団体、被害者なし,法人・団体、被害者なし,施錠せず
窃盗,自転車盗,北上,江釣子,32069,岩手県,北上市,北鬼柳１８地割,2021/7/24,15,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,北上,飯豊,32069,岩手県,北上市,村崎野１７地割,2021/7/3,12,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,奥州,佐倉河,32158,岩手県,奥州市,水沢佐倉河字西舘,2021/12/13,18,一戸建住宅,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,奥州,前沢,32158,岩手県,奥州市,前沢字三日町,2021/4/7,6,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,奥州,前沢,32158,岩手県,奥州市,前沢あすか通４丁目,2021/12/4,15,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,奥州,小山,32158,岩手県,奥州市,胆沢小山字龍ケ馬場,2021/3/13,13,その他,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,奥州,常盤,32158,岩手県,奥州市,水沢東大通り１丁目,2021/10/9,1,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,奥州,水沢南,32158,岩手県,奥州市,水沢字森下,2021/11/6,18,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,奥州,水沢南,32158,岩手県,奥州市,水沢字森下,2021/12/2,8,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,奥州,水沢駅前,32158,岩手県,奥州市,水沢字虚空蔵小路,2021/8/11,8,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,奥州,水沢駅前,32158,岩手県,奥州市,水沢字堰合,2021/10/10,18,その他の住宅（３階建て以下共同住宅等）,その他,65-69歳,その他,施錠せず
窃盗,自転車盗,奥州,水沢駅前,32158,岩手県,奥州市,水沢中町,2021/4/20,0,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,奥州,水沢駅前,32158,岩手県,奥州市,水沢中町,2021/6/24,10,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,奥州,水沢駅前,32158,岩手県,奥州市,水沢中町,2021/10/8,18,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,奥州,水沢駅前,32158,岩手県,奥州市,水沢中町,2021/10/14,7,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,奥州,水沢駅前,32158,岩手県,奥州市,水沢中町,2021/12/21,9,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,奥州,水沢駅前,32158,岩手県,奥州市,水沢東大通り１丁目,2021/4/15,12,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,奥州,水沢駅前,32158,岩手県,奥州市,水沢東大通り１丁目,2021/8/6,14,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,奥州,水沢駅前,32158,岩手県,奥州市,水沢東大通り１丁目,2021/8/8,6,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,奥州,水沢駅前,32158,岩手県,奥州市,水沢東大通り１丁目,2021/8/11,6,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,奥州,水沢駅前,32158,岩手県,奥州市,水沢東大通り１丁目,2021/8/20,19,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,奥州,江刺幹部,32158,岩手県,奥州市,江刺杉ノ町,2021/10/23,15,駐車（輪）場,駐車（輪）場,10歳代,小学生,施錠せず
窃盗,自転車盗,奥州,金ケ崎,33812,岩手県,金ケ崎町,西根杉土手,2021/4/7,6,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,奥州,金ケ崎,33812,岩手県,金ケ崎町,西根杉土手,2021/6/5,6,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,奥州,金ケ崎,33812,岩手県,金ケ崎町,西根杉土手,2021/9/2,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,奥州,金ケ崎,33812,岩手県,金ケ崎町,西根杉土手,2021/10/23,12,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,奥州,金ケ崎,33812,岩手県,金ケ崎町,三ケ尻丹蔵堰,2021/3/23,17,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,一関,一関駅前,32093,岩手県,一関市,駅前,2021/4/13,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,一関,一関駅前,32093,岩手県,一関市,駅前,2021/5/7,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,一関,一関駅前,32093,岩手県,一関市,駅前,2021/8/6,6,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,一関,一関駅前,32093,岩手県,一関市,駅前,2021/8/23,21,駐車（輪）場,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,一関,一関駅前,32093,岩手県,一関市,大手町,2021/3/7,11,その他,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,一関,一関駅前,32093,岩手県,一関市,大町,2021/7/2,7,その他,その他,50歳代,その他,施錠した
窃盗,自転車盗,一関,一関駅前,32093,岩手県,一関市,三関字神田,2021/8/10,18,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,一関,一関駅前,32093,岩手県,一関市,末広１丁目,2021/12/18,16,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,一関,一関駅前,32093,岩手県,一関市,萩荘字高梨南方,2021/12/3,8,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,一関,山目,32093,岩手県,一関市,末広１丁目,2021/7/21,19,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,一関,山目,32093,岩手県,一関市,山目字十二神,2021/12/7,5,その他,駐車（輪）場,65-69歳,その他,施錠せず
窃盗,自転車盗,一関,山目,32093,岩手県,一関市,上日照,2021/3/5,12,駐車（輪）場,駐車（輪）場,60-64歳,その他,施錠せず
窃盗,自転車盗,一関,平泉,34029,岩手県,平泉町,平泉字泉屋,2021/3/1,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,一関,平泉,34029,岩手県,平泉町,平泉字上野台,2021/5/7,20,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,一関,平泉,34029,岩手県,平泉町,平泉字上野台,2021/7/3,19,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,一関,萩荘,32093,岩手県,一関市,,2021/7/10,12,その他,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,一関,赤荻,32093,岩手県,一関市,山目字泥田,2021/3/7,20,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,一関,赤荻,32093,岩手県,一関市,山目字泥田,2021/6/24,16,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,一関,赤荻,32093,岩手県,一関市,山目字中野,2021/2/20,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,60-64歳,その他,施錠せず
窃盗,自転車盗,千厩,小梨,32093,岩手県,一関市,千厩町清田字田畑,2021/8/27,14,その他,その他,10歳代,その他,施錠した
窃盗,自転車盗,大船渡,大船渡駅前,32034,岩手県,大船渡市,盛町字東町裏,2021/4/28,7,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,遠野,遠野駅前,32085,岩手県,遠野市,中央通り,2021/10/30,16,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,釜石,大槌,34614,岩手県,大槌町,本町,2021/4/12,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,釜石,大槌,34614,岩手県,大槌町,本町,2021/4/15,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,釜石,小佐野,32115,岩手県,釜石市,上中島町２丁目,2021/11/1,13,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,釜石,甲子,32115,岩手県,釜石市,甲子町第９地割,2021/8/30,16,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,宮古,宮古駅前,32026,岩手県,宮古市,栄町,2021/9/2,6,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,宮古,宮古駅前,32026,岩手県,宮古市,西町３丁目,2021/12/2,18,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠した
窃盗,自転車盗,宮古,宮古駅前,32026,岩手県,宮古市,南町,2021/11/2,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,50歳代,その他,施錠せず
窃盗,自転車盗,宮古,宮古駅前,32026,岩手県,宮古市,宮町３丁目,2021/12/1,8,その他の住宅（３階建て以下共同住宅等）,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,宮古,宮古駅前,32026,岩手県,宮古市,宮町３丁目,2021/12/8,6,一戸建住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,宮古,日の出町,32026,岩手県,宮古市,築地２丁目,2021/11/15,8,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,宮古,磯鶏,32026,岩手県,宮古市,磯鶏２丁目,2021/5/19,6,その他の住宅（３階建て以下共同住宅等）,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,宮古,磯鶏,32026,岩手県,宮古市,磯鶏沖,2021/1/28,12,一戸建住宅,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,久慈,久慈駅前,32077,岩手県,久慈市,川崎町,2021/9/15,不明,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,久慈,久慈駅前,32077,岩手県,久慈市,中央２丁目,2021/8/18,20,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,久慈,久慈駅前,32077,岩手県,久慈市,中央３丁目,2021/6/1,9,駐車（輪）場,駐車（輪）場,70歳以上,その他,施錠せず
窃盗,自転車盗,二戸,二戸駅前交番,32131,岩手県,二戸市,石切所字枋ノ木,2021/9/11,18,道路上,その他,40歳代,その他,施錠せず
窃盗,自転車盗,二戸,金田一,32131,岩手県,二戸市,金田一字駒焼場,2021/11/23,17,一戸建住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,盛岡西,みたけ,32018,岩手県,盛岡市,みたけ１丁目,2021/6/3,8,その他,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,盛岡西,みたけ,32018,岩手県,盛岡市,みたけ２丁目,2021/7/30,18,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡西,みたけ,32018,岩手県,盛岡市,みたけ４丁目,2021/5/16,16,その他の住宅（３階建て以下共同住宅等）,その他,10歳代,大学生,施錠した
窃盗,自転車盗,盛岡西,みたけ,32018,岩手県,盛岡市,みたけ４丁目,2021/6/23,18,その他の住宅（３階建て以下共同住宅等）,その他,30歳代,その他,施錠せず
窃盗,自転車盗,盛岡西,三ツ家,32018,岩手県,盛岡市,前潟４丁目,2021/2/28,9,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡西,三ツ家,32018,岩手県,盛岡市,前潟４丁目,2021/9/2,16,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡西,三ツ家,32018,岩手県,盛岡市,前潟４丁目,2021/10/12,18,その他,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,盛岡西,三ツ家,32018,岩手県,盛岡市,前潟４丁目,2021/10/14,19,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,青山２丁目,2021/6/21,8,その他,駐車（輪）場,10歳代,その他,施錠した
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,青山２丁目,2021/7/20,11,その他,その他,70歳以上,その他,施錠せず
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,青山２丁目,2021/7/25,19,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,青山２丁目,2021/11/3,9,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,青山２丁目,2021/12/5,18,一戸建住宅,その他,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,青山２丁目,2021/12/9,17,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,青山３丁目,2021/8/12,6,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,青山３丁目,2021/11/13,22,４階建て以上共同住宅,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,青山４丁目,2021/8/11,13,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,上堂１丁目,2021/8/11,18,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,前九年１丁目,2021/4/20,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,前九年２丁目,2021/7/10,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,前九年３丁目,2021/4/26,8,その他,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,前九年３丁目,2021/6/1,7,その他,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,前九年３丁目,2021/6/26,7,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,前九年３丁目,2021/7/17,10,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,月が丘２丁目,2021/4/12,11,その他,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,盛岡西,前九年,32018,岩手県,盛岡市,盛岡駅西通１丁目,2021/10/14,21,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡西,厨川,32018,岩手県,盛岡市,厨川１丁目,2021/8/15,不明,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡西,厨川,32018,岩手県,盛岡市,厨川１丁目,2021/10/23,13,その他,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,盛岡西,厨川,32018,岩手県,盛岡市,厨川２丁目,2021/6/7,15,４階建て以上共同住宅,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,盛岡西,厨川,32018,岩手県,盛岡市,厨川５丁目,2020/12/23,18,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡西,厨川,32018,岩手県,盛岡市,厨川５丁目,2021/6/24,18,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡西,大釜,32166,岩手県,滝沢市,篠木明法,2020/12/10,18,その他,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡西,滝沢,32166,岩手県,滝沢市,巣子,2021/7/27,16,一戸建住宅,その他,10歳未満,小学生,施錠せず
窃盗,自転車盗,盛岡西,滝沢,32166,岩手県,滝沢市,巣子,2021/11/29,12,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,盛岡西,滝沢中央,32166,岩手県,滝沢市,鵜飼狐洞,2021/5/1,13,その他,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,盛岡西,滝沢中央,32166,岩手県,滝沢市,鵜飼年毛,2021/2/14,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,盛岡西,盛岡駅前,32018,岩手県,盛岡市,盛岡駅前北通,2021/4/10,8,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,盛岡西,盛岡駅前,32018,岩手県,盛岡市,盛岡駅前通,2021/4/19,3,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,盛岡西,盛岡駅前,32018,岩手県,盛岡市,盛岡駅前通,2021/11/17,19,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,盛岡西,盛岡駅前,32018,岩手県,盛岡市,夕顔瀬町,2021/4/3,11,一戸建住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,盛岡西,盛岡駅前,32018,岩手県,盛岡市,盛岡駅西通２丁目,2021/8/13,9,その他,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,盛岡西,盛岡駅前,32018,岩手県,盛岡市,盛岡駅西通２丁目,2021/8/17,11,その他,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,盛岡西,盛岡駅前,32018,岩手県,盛岡市,盛岡駅西通２丁目,2021/9/3,16,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,盛岡西,雫石,33014,岩手県,雫石町,八卦,2021/11/14,18,一戸建住宅,その他,10歳代,高校生,施錠せず
